,PM10 (µg/m3),Time,Date,NO (µg/m3),PM2.5 (µg/m3),NO2 (µg/m3),NOX (ppb),CO (mg/m3),SO2 (µg/m3),NH3 (µg/m3),Ozone (µg/m3),Benzene (µg/m3)
0,95.0,00:00:00,2023-02-01,14.484070232819281,35.0,90.1,56.2,0.31,11.98683278688479,17.7,28.1,0.4
1,95.0,00:15:00,2023-02-01,14.484070232819281,35.0,88.0,55.1,0.33,11.98683278688479,18.3,27.1,0.4
2,95.0,00:30:00,2023-02-01,15.835913638347094,35.0,87.7,55.2,0.38,10.912796290818136,19.7,24.9,0.4
3,122.0,00:45:00,2023-02-01,15.914518304766798,34.0,88.9,55.7,0.38,10.613291091228763,21.3,21.9,0.4
4,122.0,01:00:00,2023-02-01,16.035640102810873,34.0,90.0,55.8,0.38,7.362361415948168,22.3,16.7,0.4
5,122.0,01:15:00,2023-02-01,17.4977768146927,34.0,90.2,55.9,0.37,8.494480522406601,22.7,16.1,0.4
6,122.0,01:30:00,2023-02-01,17.121285473639247,34.0,88.9,55.4,0.34,8.326683634362908,23.1,22.5,0.4
7,90.0,01:45:00,2023-02-01,15.532830124330568,35.0,88.9,55.2,0.35,8.61286330988921,23.5,20.5,0.4
8,90.0,02:00:00,2023-02-01,19.465701807548754,35.0,88.9,55.9,0.34,9.272342842672291,23.1,22.8,0.4
9,90.0,02:15:00,2023-02-01,22.2151462978097,35.0,88.9,55.3,0.35,9.45711417534529,22.9,19.0,0.4
10,90.0,02:30:00,2023-02-01,21.873790848719715,35.0,88.8,55.4,0.39,8.161848138925315,22.6,17.1,0.4
11,72.0,02:45:00,2023-02-01,22.263462940131777,32.0,88.9,55.1,0.46,7.735572262752258,22.5,19.1,0.4
12,72.0,03:00:00,2023-02-01,18.368448583978143,32.0,88.9,55.8,0.47,7.74164407854643,22.7,18.2,0.4
13,72.0,03:15:00,2023-02-01,18.340577134351037,32.0,87.7,55.5,0.44,8.054953494176301,22.5,18.0,0.4
14,72.0,03:30:00,2023-02-01,18.937144516900027,32.0,85.6,54.2,0.41,8.917091140808159,22.7,15.7,0.4
